,city,id,latitude,longitude,date,temperature,precipitation,weather_type
0,Mont Saint Michel,0,48.636,-1.5115,2023-12-02,1.39,0.41,Clouds
1,Mont Saint Michel,0,48.636,-1.5115,2023-12-03,7.45,0.59,Rain
2,Mont Saint Michel,0,48.636,-1.5115,2023-12-04,10.87,1.0,Rain
3,Mont Saint Michel,0,48.636,-1.5115,2023-12-05,10.23,0.71,Rain
4,Mont Saint Michel,0,48.636,-1.5115,2023-12-06,8.35,1.0,Rain
5,Mont Saint Michel,0,48.636,-1.5115,2023-12-07,11.1,1.0,Rain
6,Mont Saint Michel,0,48.636,-1.5115,2023-12-08,11.89,0.98,Rain
7,Mont Saint Michel,0,48.636,-1.5115,2023-12-09,9.37,1.0,Rain
8,St Malo,1,48.6495,-2.026,2023-12-02,1.49,0.57,Rain
9,St Malo,1,48.6495,-2.026,2023-12-03,9.27,0.89,Rain
10,St Malo,1,48.6495,-2.026,2023-12-04,11.17,1.0,Rain
11,St Malo,1,48.6495,-2.026,2023-12-05,10.51,0.59,Rain
12,St Malo,1,48.6495,-2.026,2023-12-06,8.88,1.0,Rain
13,St Malo,1,48.6495,-2.026,2023-12-07,11.67,1.0,Rain
14,St Malo,1,48.6495,-2.026,2023-12-08,11.98,0.95,Rain
15,St Malo,1,48.6495,-2.026,2023-12-09,10.01,1.0,Rain
16,Bayeux,2,49.2765,-0.7025,2023-12-02,1.14,0.37,Rain
17,Bayeux,2,49.2765,-0.7025,2023-12-03,6.31,0.25,Clouds
18,Bayeux,2,49.2765,-0.7025,2023-12-04,10.22,1.0,Rain
19,Bayeux,2,49.2765,-0.7025,2023-12-05,8.94,0.95,Rain
20,Bayeux,2,49.2765,-0.7025,2023-12-06,8.2,1.0,Rain
21,Bayeux,2,49.2765,-0.7025,2023-12-07,11.4,1.0,Rain
22,Bayeux,2,49.2765,-0.7025,2023-12-08,12.05,1.0,Rain
23,Bayeux,2,49.2765,-0.7025,2023-12-09,9.85,0.98,Rain
24,Le Havre,3,49.4939,0.108,2023-12-02,1.51,0.4,Rain
25,Le Havre,3,49.4939,0.108,2023-12-03,6.24,0.32,Clouds
26,Le Havre,3,49.4939,0.108,2023-12-04,7.73,1.0,Rain
27,Le Havre,3,49.4939,0.108,2023-12-05,8.76,1.0,Rain
28,Le Havre,3,49.4939,0.108,2023-12-06,8.92,0.98,Rain
29,Le Havre,3,49.4939,0.108,2023-12-07,10.59,0.94,Rain
30,Le Havre,3,49.4939,0.108,2023-12-08,12.01,1.0,Rain
31,Le Havre,3,49.4939,0.108,2023-12-09,10.62,0.98,Rain
32,Rouen,4,49.4405,1.094,2023-12-02,0.82,0.1,Clouds
33,Rouen,4,49.4405,1.094,2023-12-03,3.84,0.14,Clouds
34,Rouen,4,49.4405,1.094,2023-12-04,5.81,1.0,Snow
35,Rouen,4,49.4405,1.094,2023-12-05,7.41,0.97,Rain
36,Rouen,4,49.4405,1.094,2023-12-06,7.95,1.0,Rain
37,Rouen,4,49.4405,1.094,2023-12-07,9.65,1.0,Rain
