,city,hotel_name,hotel_address,hotel_general_review,hotel_rating,numbers_of_reviews,hotel_facilities,hotel_description,url_booking_hotel,lat_hotel,lon_hotel
0,Cassis,"L’Aiguade, appartement d'exception à Cassis"," 12 Avenue de l'Amiral Ganteaume, 13260 Cassis, France ",Exceptional,10.0,6 reviews,"['Free parking', 'Beachfront', 'Free WiFi', 'Non-smoking rooms', 'Terrace', 'Garden', 'Free parking', 'Beachfront', 'Free WiFi', 'Non-smoking rooms', 'Terrace', 'Garden', 'Accessible parking', 'High chair', 'Coffee machine', 'Toaster', 'Stovetop', 'Oven', 'Kitchenware', 'Electric kettle', 'Kitchen', 'Washing machine', 'Refrigerator', 'Linens', 'Wardrobe or closet', 'Toilet paper', 'Towels', 'Private Bathroom', 'Hairdryer', 'Flat-screen TV', 'Cable channels', 'Sofa bed', 'Drying rack for clothing', 'Private entrance', 'Iron', 'Outdoor furniture', 'Beachfront', 'Outdoor dining area', 'Sun deck', 'BBQ facilities', 'Terrace', 'Garden', 'Beach umbrellas', 'Beach chairs/Loungers', 'Tea/Coffee maker', 'Beach', 'Landmark view', 'Garden view', 'Ocean view', 'View', 'Invoice provided', 'Smoke-free property', 'Heating', 'Non-smoking rooms', 'English', 'French']","Offering a garden and barbecue facilities, L’Aiguade, appartement d'exception à Cassis in Cassis is close to Bestouan and Grande Mer. This beachfront property offers access to free Wifi and free private parking. Anse de Corton Beach is a 15-minute walk away and Orange Velodrome Stadium is 12 miles from the apartment.

Providing a terrace with sea views, this apartment also provides guests with a cable flat-screen TV, a well-equipped kitchen with an oven, a toaster, and a fridge, as well as 1 bathroom. The property has an outdoor dining area.

Rond-Point du Prado Metro Station is 12 miles from the apartment, while Marseille Chanot Exhibition and Convention Center is 13 miles away. The nearest airport is Marseille Provence Airport, 29 miles from L’Aiguade, appartement d'exception à Cassis.",https://www.booking.com/hotel/fr/aiguade-appartement-d-exception-a-cassis.html?label=gen173nr-1FEgZzZWFyY2goggI46AdIM1gEaK0CiAEBmAExuAEYyAEV2AEB6AEB-AECiAIBqAIEuAK8j6yrBsACAdICJGM2NTM2OTk1LTY1YjMtNGQ2NC04NTczLTMzOWQ4YzQzMjRhONgCBeACAQ&sid=4a5489603b3709e2b68ca3679e11ac97&aid=304142&ucfs=1&arphpl=1&dest_id=-1416912&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=4fac4a1e0d16022c&srepoch=1701513150&from=searchresults,43.2141154,5.5338211
1,Cassis,80m2 à 200m de la calanque de Port Miou - 2 chambres et parking," 31 Avenue des Calanques, 13260 Cassis, France ",Exceptional,10.0,1 review,"['Free parking', 'Free WiFi', 'Terrace', 'Free parking', 'Free WiFi', 'Terrace', 'Stovetop', 'Oven', 'Kitchen', 'Washing machine', 'Dishwasher', 'Microwave', 'Refrigerator', 'Toilet paper', 'Hairdryer', 'Flat-screen TV', 'Heating', 'Iron', 'BBQ facilities', 'Terrace', 'Tea/Coffee maker', 'Air conditioning', 'Smoke-free property', 'English', 'French']","80m2 à 200m de la calanque de Port Miou - 2 chambres et parking offers accommodations in Cassis, 13 miles from Orange Velodrome Stadium and 13 miles from Rond-Point du Prado Metro Station. This property offers access to a terrace and free private parking. Marseille Chanot Exhibition and Convention Center is 13 miles from the apartment and La Timone Metro Station is 14 miles away.

With free Wifi, this 2-bedroom apartment offers a flat-screen TV, a washing machine, and a fully equipped kitchen with a dishwasher and oven. The accommodation is non-smoking.

Popular points of interest near the apartment include Bestouan, Plage de Port Pin, and Grande Mer. The nearest airport is Marseille Provence Airport, 29 miles from 80m2 à 200m de la calanque de Port Miou - 2 chambres et parking.",https://www.booking.com/hotel/fr/80m2-a-200m-de-la-calanque-de-port-miou-2-chambres-et-parking.html?label=gen173nr-1FEgZzZWFyY2goggI46AdIM1gEaK0CiAEBmAExuAEYyAEV2AEB6AEB-AECiAIBqAIEuAK8j6yrBsACAdICJGM2NTM2OTk1LTY1YjMtNGQ2NC04NTczLTMzOWQ4YzQzMjRhONgCBeACAQ&sid=4a5489603b3709e2b68ca3679e11ac97&aid=304142&ucfs=1&arphpl=1&dest_id=-1416912&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=4fac4a1e0d16022c&srepoch=1701513150&from=searchresults,43.2115707,5.5240701
2,Cassis,La douceur de Cassis," 16 Avenue du Picouveau, 13260 Cassis, France ",Wonderful,9.3,123 reviews,"['Free parking', 'Free WiFi', 'Non-smoking rooms', 'Terrace', 'Bar', 'Free parking', 'Free WiFi', 'Non-smoking rooms', 'Terrace', 'Bar', 'Street parking', 'High chair', 'Dining table', 'Coffee machine', 'Toaster', 'Stovetop', 'Oven', 'Kitchenware', 'Electric kettle', 'Kitchen', 'Washing machine', 'Dishwasher', 'Microwave', 'Refrigerator', 'Linens', 'Wardrobe or closet', 'Toilet paper', 'Towels', 'Bathtub or shower', 'Private Bathroom', 'Toilet', 'Hairdryer', 'Shower', 'Dining area', 'Flat-screen TV', 'Cable channels', 'TV', 'Socket near the bed', 'Drying rack for clothing', 'Mosquito net', 'Ironing facilities', 'Iron', 'Upper floors accessible by elevator', 'Outdoor furniture', 'Outdoor dining area', 'Sun deck', 'Balcony', 'Terrace', 'Beach chairs/Loungers', 'Coffee house on site', 'Bar', 'Tea/Coffee maker', 'Bike tours', 'Walking tours', 'Temporary art galleries', 'Beach', 'Water park', 'Snorkeling', 'Diving', 'Cycling', 'Hiking', 'Canoeing', 'Windsurfing', 'Fishing', 'Ocean view', 'View', 'Private apartment in building', 'Semi-detached', 'Express check-in/out', '24-hour front desk', 'Board games/Puzzles', 'Books, DVDs or music for children', 'Board games/puzzles', 'Adults only', 'Designated smoking area', 'Air conditioning', 'Heating', 'Soundproof rooms', 'Elevator', 'Non-smoking rooms', 'Smoke alarms', 'Key access', 'English', 'French']","La douceur de Cassis is located in Cassis, just 13 miles from Orange Velodrome Stadium and 13 miles from Rond-Point du Prado Metro Station. Among the facilities at this property are a 24-hour front desk and an elevator, along with free Wifi throughout the property. Marseille Chanot Exhibition and Convention Center is 13 miles from the apartment and La Timone Metro Station is 13 miles away.

Opening onto a balcony, the air-conditioned apartment consists of 1 bedroom. Providing a terrace with sea views, this apartment also offers a cable flat-screen TV, a well-equipped kitchen with a dishwasher, an oven, and a microwave, as well as 1 bathroom with a shower and a hair dryer. The property has an outdoor dining area.

There is a coffee shop and bar.

Guests at the apartment will be able to enjoy activities in and around Cassis, like cycling and walking tours.

Popular points of interest near La douceur de Cassis include Bestouan, Grande Mer, and Anse de Corton Beach. The nearest airport is Marseille Provence Airport, 29 miles from the accommodation.",https://www.booking.com/hotel/fr/la-douceur-de-cassis.html?label=gen173nr-1FEgZzZWFyY2goggI46AdIM1gEaK0CiAEBmAExuAEYyAEV2AEB6AEB-AECiAIBqAIEuAK8j6yrBsACAdICJGM2NTM2OTk1LTY1YjMtNGQ2NC04NTczLTMzOWQ4YzQzMjRhONgCBeACAQ&sid=4a5489603b3709e2b68ca3679e11ac97&aid=304142&ucfs=1&arphpl=1&dest_id=-1416912&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=4fac4a1e0d16022c&srepoch=1701513150&from=searchresults,43.215009,5.530956
3,Cassis,MISTRAL Gagnant," 11 Rue Frédéric Mistral, 13260 Cassis, France ",Very Good,8.2,220 reviews,"['Free parking', 'Free WiFi', 'Family rooms', 'Non-smoking rooms', 'Terrace', 'Free parking', 'Free WiFi', 'Family rooms', 'Non-smoking rooms', 'Terrace', 'Dining table', 'Coffee machine', 'Cleaning products', 'Toaster', 'Stovetop', 'Kitchenware', 'Electric kettle', 'Kitchen', 'Microwave', 'Refrigerator', 'Wardrobe or closet', 'Towels/Sheets (extra fee)', 'Bathtub or shower', 'Private Bathroom', 'Toilet', 'Sitting area', 'Flat-screen TV', 'TV', 'Sofa bed', 'Drying rack for clothing', 'Tile/Marble floor', 'Private entrance', 'Heating', 'Terrace', 'Beach', 'Detached', 'Invoice provided', 'Air conditioning', 'Smoke-free property', 'Family rooms', 'Non-smoking rooms', 'English', 'French']","Located 3.1 mi from Cap Canaille in Cassis, MISTRAL Gagnant provides accommodations with air conditioning and free WiFi.

All units include a fully equipped kitchen, allowing guests to prepare their own meals. An oven is also available, as well as a coffee machine and a kettle. Towels and bed linen are not provided (at an additional cost).

Marseille Provence Airport is 31 mi away.",https://www.booking.com/hotel/fr/mistral-cassis.html?label=gen173nr-1FEgZzZWFyY2goggI46AdIM1gEaK0CiAEBmAExuAEYyAEV2AEB6AEB-AECiAIBqAIEuAK8j6yrBsACAdICJGM2NTM2OTk1LTY1YjMtNGQ2NC04NTczLTMzOWQ4YzQzMjRhONgCBeACAQ&sid=4a5489603b3709e2b68ca3679e11ac97&aid=304142&ucfs=1&arphpl=1&dest_id=-1416912&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=4fac4a1e0d16022c&srepoch=1701513150&from=searchresults,43.21537,5.53719
4,Cassis,appartement cosy à 10 mètres du port de Cassis," 6 Rue Bremond, 13260 Cassis, France ",Very Good,8.2,267 reviews,"['Parking on site', 'Free WiFi', 'Non-smoking rooms', 'Parking on site', 'Free WiFi', 'Non-smoking rooms', 'Street parking', 'Electric vehicle charging station', 'Accessible parking', 'Dining table', 'Coffee machine', 'Cleaning products', 'Stovetop', 'Oven', 'Dryer', 'Kitchenware', 'Electric kettle', 'Kitchen', 'Washing machine', 'Microwave', 'Refrigerator', 'Kitchenette', 'Linens', 'Wardrobe or closet', 'Toilet paper', 'Towels', 'Bathtub or shower', 'Private Bathroom', 'Toilet', 'Free toiletries', 'Hairdryer', 'Shower', 'Dining area', 'Sofa', 'Sitting area', 'Desk', 'Flat-screen TV', 'TV', 'Socket near the bed', 'Drying rack for clothing', 'Clothes rack', 'Hardwood or parquet floors', 'Soundproof', 'Interconnecting room(s) available', 'Ironing facilities', 'Iron', 'Tea/Coffee maker', 'Live music/Performance', 'Tour or class about local culture', 'Bike tours', 'Walking tours', 'Stand-up comedy', 'Bar crawls', 'Temporary art galleries', 'Beach', 'Snorkeling', 'Horseback riding', 'Diving', 'Cycling', 'Hiking', 'Canoeing', 'Windsurfing', 'Fishing', 'Tennis court', 'City view', 'View', 'Private apartment in building', 'Detached', 'Invoice provided', 'Tour desk', 'Express check-in/out', 'Casino', 'Laundry', 'Hair/Beauty salon', 'Pet bowls', 'Air conditioning', 'Smoke-free property', 'Heating', 'Soundproof rooms', 'Non-smoking rooms', 'Fire extinguishers', 'Smoke alarms', 'Key access', 'Carbon monoxide detector', 'German', 'Greek', 'English', 'Spanish', 'French', 'Italian']","Surrounded by views of the city, appartement cosy à 10 mètres du port de Cassis is a sustainable apartment in Cassis, offering guests an environmentally friendly accommodation close to Grande Mer. Featuring a casino, the property is located within a 7-minute walk of Bestouan. This pet-friendly apartment also has free Wifi.

The air-conditioned apartment consists of 1 bedroom, a living room, a fully equipped kitchen with an oven and a coffee machine, and 1 bathroom with a walk-in shower and a hair dryer. A flat-screen TV is available. The apartment offers bed linen, towels, and laundry service.

Guests at the apartment will be able to enjoy activities in and around Cassis, like cycling, fishing, and hiking.

Anse de Corton Beach is a 12-minute walk from appartement cosy à 10 mètres du port de Cassis, while Orange Velodrome Stadium is 12 miles from the property. The nearest airport is Marseille Provence Airport, 28 miles from the accommodation.",https://www.booking.com/hotel/fr/appartement-cosy-a-10-metres-du-port-de-cassis.html?label=gen173nr-1FEgZzZWFyY2goggI46AdIM1gEaK0CiAEBmAExuAEYyAEV2AEB6AEB-AECiAIBqAIEuAK8j6yrBsACAdICJGM2NTM2OTk1LTY1YjMtNGQ2NC04NTczLTMzOWQ4YzQzMjRhONgCBeACAQ&sid=4a5489603b3709e2b68ca3679e11ac97&aid=304142&ucfs=1&arphpl=1&dest_id=-1416912&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=4fac4a1e0d16022c&srepoch=1701513150&from_sustainable_property_sr=1&from=searchresults,43.21533507,5.53686093
5,Cassis,Les Jardins de Cassis," Avenue Auguste Favier, 13260 Cassis, France ",Very Good,8.1,"1,543 reviews","['Outdoor swimming pool', 'Free parking', 'Free WiFi', 'Family rooms', 'Non-smoking rooms', 'Terrace', 'Garden', 'Room service', 'Bar', 'Good Breakfast', 'Outdoor swimming pool', 'Free parking', 'Free WiFi', 'Family rooms', 'Non-smoking rooms', 'Terrace', 'Garden', 'Room service', 'Bar', 'Good Breakfast', 'Toilet paper', 'Towels', 'Bathtub or shower', 'Private Bathroom', 'Toilet', 'Free toiletries', 'Hairdryer', 'Shower', 'Wardrobe or closet', 'Outdoor furniture', 'Sun deck', 'Terrace', 'Garden', 'Socket near the bed', 'Clothes rack', 'Walking tours', 'Snorkeling', 'Horseback riding', 'Diving', 'Cycling', 'Hiking', 'Canoeing', 'Windsurfing', 'Ping-pong', 'Desk', 'Flat-screen TV', 'Satellite channels', 'Radio', 'Telephone', 'TV', 'Snack bar', 'Breakfast in the room', 'Bar', 'Parking garage', 'Accessible parking', 'Daily housekeeping', 'Shared lounge/TV area', 'Wake-up service', 'Fax/Photocopying', '24-hour front desk', 'Meeting/Banquet facilities', 'Room service', 'Fire extinguishers', 'CCTV outside property', '24-hour security', 'Safe', 'Air conditioning', 'Smoke-free property', 'Tile/Marble floor', 'Heating', 'Family rooms', 'Non-smoking rooms', 'Open all year', 'Heated pool', 'Pool/Beach towels', 'Beach chairs/Loungers', 'Fenced pool', 'Beach umbrellas', 'Beach chairs/Loungers', 'Solarium', 'English', 'French', 'Italian', 'Russian']","Set in a Mediterranean-style garden with an outdoor heated swimming pool, and featuring a relaxation area with a hot tub and sauna, this hotel is a 10-minute walk from the center of Cassis and La Grande Mer Beach. It is located 30 minutes from Marseille and offers free WiFi and 2 free secure car parks.

The air-conditioned guest rooms at Les Jardins de Cassis are equipped with a flat-screen TV with satellite channels. All rooms have a private bathroom with a shower and hairdryer and some feature a balcony or a terrace.

A continental buffet breakfast is served each morning in the breakfast room or on the terrace by the pool. Les Jardins de Cassis also features a 24-hour bar, which is located by the pool and offers a terrace.

During their stay, guests are invited to play sports on the multipurpose sports field.

Cassis Train Station is located 1.2 mi from the hotel. Circuit Paul Ricard is 35 minutes' drive away.",https://www.booking.com/hotel/fr/les-jardins-de-cassis.html?label=gen173nr-1FEgZzZWFyY2goggI46AdIM1gEaK0CiAEBmAExuAEYyAEV2AEB6AEB-AECiAIBqAIEuAK8j6yrBsACAdICJGM2NTM2OTk1LTY1YjMtNGQ2NC04NTczLTMzOWQ4YzQzMjRhONgCBeACAQ&sid=4a5489603b3709e2b68ca3679e11ac97&aid=304142&ucfs=1&arphpl=1&dest_id=-1416912&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=4fac4a1e0d16022c&srepoch=1701513150&from_sustainable_property_sr=1&from=searchresults,43.22184049,5.5433849
6,Cassis,Le Bel Ecrin par Dodo-a-Cassis," 6 Avenue de l'Amiral Ganteaume, 13260 Cassis, France ",Wonderful,9.2,62 reviews,"['Free parking', 'Beachfront', 'Free WiFi', 'Non-smoking rooms', 'Terrace', 'Airport shuttle', 'Free parking', 'Beachfront', 'Free WiFi', 'Non-smoking rooms', 'Terrace', 'Airport shuttle', 'Street parking', 'Dining table', 'Coffee machine', 'Cleaning products', 'Toaster', 'Stovetop', 'Oven', 'Dryer', 'Kitchenware', 'Electric kettle', 'Kitchen', 'Washing machine', 'Dishwasher', 'Microwave', 'Refrigerator', 'Wardrobe or closet', 'Walk-in closet', 'Toilet paper', 'Towels/Sheets (extra fee)', 'Private Bathroom', 'Toilet', 'Free toiletries', 'Hairdryer', 'Shower', 'Dining area', 'Sofa', 'Sitting area', 'Flat-screen TV', 'Satellite channels', 'TV', 'Socket near the bed', 'Sofa bed', 'Drying rack for clothing', 'Clothes rack', 'Tile/Marble floor', 'Soundproof', 'Private entrance', 'Ironing facilities', 'Iron', 'Outdoor furniture', 'Beachfront', 'Outdoor dining area', 'Sun deck', 'Balcony', 'Terrace', 'Open-air bath', 'Beach', 'Horseback riding', 'Diving', 'Hiking', 'Canoeing', 'Windsurfing', 'Fishing', 'Tennis court', 'City view', 'Landmark view', 'Mountain view', 'Ocean view', 'View', 'Private apartment in building', 'Airport shuttle', 'Nightclub/DJ', 'Casino', 'Convenience store on site', 'Air conditioning', 'Smoke-free property', 'Heating', 'Soundproof rooms', 'Non-smoking rooms', 'Smoke alarms', 'English', 'French']","Just a 5-minute walk from Bestouan and 0.4 miles from Grande Mer, Le Bel Ecrin par Dodo-a-Cassis features accommodations in Cassis, with an open-air bath and a casino. This beachfront property offers access to a balcony and free Wifi. Rond-Point du Prado Metro Station is 12 miles from the apartment and Marseille Chanot Exhibition and Convention Center is 13 miles away.

The air-conditioned apartment consists of 1 bedroom, a living room, a fully equipped kitchen with a dishwasher and a coffee machine, and 1 bathroom with a walk-in shower and a hair dryer. Guests can enjoy a meal on an outdoor dining area while overlooking the sea views. For added privacy, the accommodation has a private entrance and soundproofing.

A mini-market is available at the apartment.

Guests at the apartment can enjoy fishing and hiking nearby, or make the most of the sun terrace.

Anse de Corton Beach is a 13-minute walk from Le Bel Ecrin par Dodo-a-Cassis, while Orange Velodrome Stadium is 12 miles away. The nearest airport is Marseille Provence, 28 miles from the accommodation, and the property offers a paid airport shuttle service.",https://www.booking.com/hotel/fr/le-bon-crin.html?label=gen173nr-1FEgZzZWFyY2goggI46AdIM1gEaK0CiAEBmAExuAEYyAEV2AEB6AEB-AECiAIBqAIEuAK8j6yrBsACAdICJGM2NTM2OTk1LTY1YjMtNGQ2NC04NTczLTMzOWQ4YzQzMjRhONgCBeACAQ&sid=4a5489603b3709e2b68ca3679e11ac97&aid=304142&ucfs=1&arphpl=1&dest_id=-1416912&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=4fac4a1e0d16022c&srepoch=1701513150&from=searchresults,43.21418695,5.53475627
7,Cassis,Villa W," 6 avenue de Verdun, 13260 Cassis, France ",Wonderful,9.1,125 reviews,"['Outdoor swimming pool', 'Free parking', 'Free WiFi', 'Family rooms', 'Non-smoking rooms', 'Terrace', 'Garden', 'Outdoor swimming pool', 'Free parking', 'Free WiFi', 'Family rooms', 'Non-smoking rooms', 'Terrace', 'Garden', 'Dining table', 'Stovetop', 'Oven', 'Kitchenware', 'Electric kettle', 'Kitchen', 'Washing machine', 'Microwave', 'Refrigerator', 'Linens', 'Wardrobe or closet', 'Towels', 'Private Bathroom', 'Toilet', 'Hairdryer', 'Shower', 'Dining area', 'Sofa', 'Sitting area', 'Flat-screen TV', 'Private entrance', 'Heating', 'Ironing facilities', 'Iron', 'Outdoor furniture', 'Terrace', 'Garden', 'Seasonal', 'Fitness', 'Hot tub/Jacuzzi', 'Sauna', 'Invoice provided', 'Air conditioning', 'Smoke-free property', 'Family rooms', 'Non-smoking rooms', 'French']","Located just 1640 feet from the harbor in Cassis, Villa W features a swimming pool, a spa, a sauna and a fitness room. The stylish apartments include free Wi-Fi access.

Each air-conditioned studio and apartment is decorated with contemporary furniture, and offers a flat-screen TV in the living area. Some studios also have a balcony or a view of the swimming pool.

Self-catering facilities in the accommodations include an oven, stove and a fridge. After lunch, you can relax on the shaded terrace or use the on-site sauna.

Marseille Train Station is a 25-minute drive from this villa and free private parking is available. Cap Canaille is only 1.2 mi away.",https://www.booking.com/hotel/fr/villa-w.html?label=gen173nr-1FEgZzZWFyY2goggI46AdIM1gEaK0CiAEBmAExuAEYyAEV2AEB6AEB-AECiAIBqAIEuAK8j6yrBsACAdICJGM2NTM2OTk1LTY1YjMtNGQ2NC04NTczLTMzOWQ4YzQzMjRhONgCBeACAQ&sid=4a5489603b3709e2b68ca3679e11ac97&aid=304142&ucfs=1&arphpl=1&dest_id=-1416912&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=4fac4a1e0d16022c&srepoch=1701513150&from=searchresults,43.21884421,5.53340793
8,Cassis,Chez Jacques par Dodo-a-Cassis," Chez Jacques, les Résidence de la Rade, Avenue de l'Amiral Ganteaume, 13260 Cassis, France ",Wonderful,9.1,24 reviews,"['Free parking', 'Free WiFi', 'Non-smoking rooms', 'Terrace', 'Free parking', 'Free WiFi', 'Non-smoking rooms', 'Terrace', 'Dining table', 'Coffee machine', 'Cleaning products', 'Toaster', 'Stovetop', 'Oven', 'Kitchenware', 'Electric kettle', 'Kitchen', 'Dishwasher', 'Microwave', 'Refrigerator', 'Wardrobe or closet', 'Private Bathroom', 'Hairdryer', 'Shower', 'Dining area', 'Sofa', 'Sitting area', 'Flat-screen TV', 'Radio', 'TV', 'Socket near the bed', 'Sofa bed', 'Clothes rack', 'Ironing facilities', 'Iron', 'Terrace', 'Ocean view', 'View', 'Invoice provided', 'Air conditioning', 'Smoke-free property', 'Heating', 'Non-smoking rooms', 'Smoke alarms', 'English', 'French']","Chez Jacques par Dodo-a-Cassis is located in Cassis, just 12 miles from Orange Velodrome Stadium and 12 miles from Rond-Point du Prado Metro Station. This property offers access to a terrace, free private parking, and free Wifi. Marseille Chanot Exhibition and Convention Center is 13 miles from the apartment and La Timone Metro Station is 13 miles away.

The air-conditioned apartment consists of 1 bedroom, a living room, a fully equipped kitchen with a dishwasher and a coffee machine, and 1 bathroom with a shower and a hair dryer. A flat-screen TV is provided. The property offers sea views.

Popular points of interest near the apartment include Bestouan, Grande Mer, and Anse de Corton Beach. The nearest airport is Marseille Provence Airport, 29 miles from Chez Jacques par Dodo-a-Cassis.",https://www.booking.com/hotel/fr/la-rade-1-par-dodo-a-cassis.html?label=gen173nr-1FEgZzZWFyY2goggI46AdIM1gEaK0CiAEBmAExuAEYyAEV2AEB6AEB-AECiAIBqAIEuAK8j6yrBsACAdICJGM2NTM2OTk1LTY1YjMtNGQ2NC04NTczLTMzOWQ4YzQzMjRhONgCBeACAQ&sid=4a5489603b3709e2b68ca3679e11ac97&aid=304142&ucfs=1&arphpl=1&dest_id=-1416912&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=4fac4a1e0d16022c&srepoch=1701513150&from=searchresults,43.2154586,5.5344976
9,Bayonne,Temporesidence Cathedrale," 9 rue Sabaterie, 64100 Bayonne, France ",Good,7.9,"2,343 reviews","['Free WiFi', 'Family rooms', 'Facilities for disabled guests', 'Non-smoking rooms', 'Free WiFi', 'Family rooms', 'Facilities for disabled guests', 'Non-smoking rooms', 'Coffee machine', 'Cleaning products', 'Toaster', 'Stovetop', 'Kitchenware', 'Electric kettle', 'Dishwasher', 'Microwave', 'Refrigerator', 'Kitchenette', 'Toilet paper', 'Private Bathroom', 'Toilet', 'Hairdryer', 'Shower', 'Dining area', 'Sitting area', 'Flat-screen TV', 'Cable channels', 'Hardwood or parquet floors', 'Entire unit wheelchair accessible', 'Upper floors accessible by elevator', 'Tea/Coffee maker', 'Hiking', 'Invoice provided', 'Laundry', 'Smoke-free property', 'Heating', 'Soundproof rooms', 'Elevator', 'Family rooms', 'Facilities for disabled guests', 'Non-smoking rooms', 'Smoke alarms', 'English', 'Spanish', 'French']","Located in Bayonne, Temporesidence Cathedrale is just 1.6 mi from the train station and 3.7 mi from Biarritz. It offers spacious apartments and studios with a fully equipped kitchenette.

All of the soundproof apartments and studios feature an LCD cable TV and a separate seating area. Each has a microwave, fridge and hotplates to prepare meals which can then be eaten in the dining area. The Wifi system of the entire residence was completely updated in June 2022 with access to high-speed optical fiber.

All of the rooms at Temporesidence Cathedrale are serviced by a elevator and the residence also has laundry facilities and luggage storage. Public parking is available at a nearby location.

Local activities include hiking and the town offers many attractions such as Bayonne castle, the Basque Museum and Saint André’s Church.",https://www.booking.com/hotel/fr/temporesidence-cathedrale.html?label=gen173nr-1FEgZzZWFyY2goggI46AdIM1gEaK0CiAEBmAExuAEYyAEV2AEB6AEB-AECiAIBqAIEuAK8j6yrBsACAdICJGI0YjY2Y2VhLWU2YjAtNDc4ZC1hNDdiLTdlMjAxOTM1YmNiZNgCBeACAQ&sid=3bf0d1c36234319f0ce4698b5e5a9312&aid=304142&ucfs=1&arphpl=1&dest_id=-1410844&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=1f7e4a1e9634011a&srepoch=1701513150&from=searchresults,43.48954193,-1.47812448
